academic_freq,non_academic_freq,phrase,ratio
1088,596,collaboration,1.825503355704698
1239,26,english text,47.65384615384615
56,7,digitization,8.0
97,35,facilitator,2.771428571428571
2,1,unique scenario,2.0
211,7,sentence pattern,30.14285714285714
371,1,target object,371.0
71,3,model information,23.66666666666667
391,54,skew,7.24074074074074
6,2,useful reference work,3.0
262,1,search problem,262.0
6,4,simple user interface,1.5
4153,5,word form,830.6
208,15,screenshot,13.86666666666667
112,1,application program,112.0
21,1,deterministic system,21.0
24,4,sqrt,6.0
882,42,tradeoff,21.0
119,1,character length,119.0
314,44,phonetics,7.136363636363637
108,1,initial study,108.0
6,1,bibliography section,6.0
9,1,opinion argument,9.0
69,1,second measure,69.0
21,4,novel meaning,5.25
62,3,ubiquity,20.66666666666667
3,1,overall flexibility,3.0
201,8,correct result,25.125
258,2,case information,129.0
38,2,text area,19.0
84,26,probability theory,3.230769230769231
1317,143,additional information,9.20979020979021
446,2,recency,223.0
6,1,common methodology,6.0
28,1,katakana character,28.0
35,1,conversational analysis,35.0
4,1,alternative training method,4.0
3,1,introductory programming course,3.0
429,6,same context,71.5
113514,5709,approach,19.88334209143458
188,1,computational system,188.0
3,1,question frequency,3.0
1192,4,querying,298.0
70,2,partial sentence,35.0
11,1,linguistic science,11.0
96,14,current theory,6.857142857142857
22,7,problem example,3.142857142857143
189,1,domain object,189.0
183,1,microfiche,183.0
6169,1242,bias,4.966988727858293
136,1,length constraint,136.0
452,1,current approach,452.0
69,2,technical terminology,34.5
151,1,linguistic perspective,151.0
752,2,first order logic,376.0
32,2,data store,16.0
153,10,subsequent work,15.3
5965,96,coherence,62.13541666666666
3175,1,search space,3175.0
27,12,underlying problem,2.25
8,1,game scenario,8.0
786,3,training phase,262.0
129,3,relevant event,43.0
694,86,difficult task,8.069767441860465
11149,956,statistic,11.66213389121339
101,2,codeword,50.5
155,15,appropriate level,10.33333333333333
272,3,specific concept,90.66666666666667
125,2,text theory,62.5
62,3,particular approach,20.66666666666667
752,4,single document,188.0
962,1,word length,962.0
26,11,objective information,2.363636363636364
376,1,performance measure,376.0
74,1,electronic mail,74.0
13206,3,training set,4402.0
726,1,second experiment,726.0
49,2,layer model,24.5
13,1,japanese user,13.0
341,11,linearity,31.0
51,4,synchronisation,12.75
32,10,case law,3.2
69,11,social psychology,6.272727272727272
53,30,backspace,1.766666666666667
28,1,index value,28.0
6,1,purpose graph,6.0
314,147,answer key,2.136054421768708
19359,5612,theory,3.449572344975053
4,1,applicable knowledge,4.0
25,6,real interaction,4.166666666666667
10,1,character gender,10.0
14,1,context data,14.0
38,4,standard solution,9.5
528,26,selection process,20.30769230769231
16,1,specific path,16.0
91,1,power set,91.0
71,14,communication problem,5.071428571428571
210,1,content feature,210.0
31,1,reader model,31.0
3,1,gnu free documentation license,3.0
3,1,title language,3.0
78,1,high complexity,78.0
24,4,distinct sense,6.0
23004,9268,speaker,2.482088908070781
3,1,value content,3.0
22,6,east timor,3.666666666666667
239,4,deep structure,59.75
678,17,halliday,39.88235294117647
4,1,interrelatedness,4.0
611,3,interlocutor,203.6666666666667
259,1,evaluation purpose,259.0
2,1,parable approach,2.0
1307,8,human language,163.375
1424,117,first word,12.17094017094017
240,4,sdp,60.0
5,1,guitar system,5.0
1204,2,metonymy,602.0
237,4,specific text,59.25
13,1,speech intelligibility,13.0
109,1,model sentence,109.0
13,3,meaningful context,4.333333333333333
313,8,straightforward way,39.125
127,2,data object,63.5
774,189,reinforcement,4.095238095238095
63,1,dictionary size,63.0
66,2,document information,33.0
9,3,basic list,3.0
222,1,sense level,222.0
14,2,initial accuracy,7.0
14,1,emotion phrase,14.0
7045,72,transliteration,97.84722222222223
92,3,theoretical basis,30.66666666666667
743,2,code switching,371.5
1347,7,lcs,192.4285714285714
16,1,heuristic value,16.0
42,7,exactness,6.0
4,1,lawmaking,4.0
77,3,primary task,25.66666666666667
22,3,single genre,7.333333333333333
49,4,example application,12.25
1580,1,freebase,1580.0
888,1,substructure,888.0
102381,2642,phrase,38.75132475397426
235,4,editorial board,58.75
617,1,lexicon entry,617.0
3,1,small group communication,3.0
346,16,standard model,21.625
88,9,cra,9.777777777777779
16,1,relevant action,16.0
71,37,explication,1.918918918918919
116,6,single speaker,19.33333333333333
278,2,corpus linguistics,139.0
88,1,arbitrary text,88.0
66,11,french grammar,6.0
4679,15,acl,311.9333333333333
2,1,international character,2.0
88,5,full analysis,17.6
15,2,service type,7.5
14,2,type study,7.0
4,1,hard memory,4.0
10,1,translation methodology,10.0
6,1,sanskrit text,6.0
71,5,panel discussion,14.2
273,17,further development,16.05882352941176
1633,499,calculus,3.272545090180361
142,5,order information,28.4
242239,18861,system,12.84338052065108
121956,31204,information,3.908345083963594
2117,1212,june,1.746699669966997
5,1,linguistic relativity,5.0
277,2,grammatical sentence,138.5
60,5,solution set,12.0
62,9,semiotics,6.888888888888889
3,1,engineering context,3.0
43,1,lisp program,43.0
9,1,question asker,9.0
943,3,free text,314.3333333333333
6504,89,knowledge base,73.07865168539325
61,5,system information,12.2
3,1,accessible graphing calculator,3.0
85,3,tld,28.33333333333333
7,3,language point,2.333333333333333
252,6,modern standard arabic,42.0
13,3,toefl ibt,4.333333333333333
12,1,syllable break,12.0
17,11,accurate assessment,1.545454545454545
18,2,similar relationship,9.0
1049,1,nlp tool,1049.0
121,3,sentence example,40.33333333333334
2,1,available approximation,2.0
18,9,specific unit,2.0
225,3,grammatical construction,75.0
481,15,simple method,32.06666666666667
887,444,algebra,1.997747747747748
84,1,gpus,84.0
212169,4050,sentence,52.38740740740741
249,2,user feedback,124.5
239,7,rule system,34.14285714285715
7,1,measure space,7.0
46,2,workshop program,23.0
11,4,correspondances,2.75
6,4,coherent message,1.5
13,1,affective language,13.0
1087,8,estimator,135.875
1755,11,spoken dialogue,159.5454545454545
9034,105,hierarchy,86.03809523809524
8446,2,test data,4223.0
29,1,devoir,29.0
135,11,oral presentation,12.27272727272727
1022,1,text mining,1022.0
1910,118,correct answer,16.1864406779661
110,1,text encoding,110.0
23987,3914,generation,6.128513030148186
16,3,information data,5.333333333333333
38,6,individual author,6.333333333333333
1547,58,different word,26.67241379310345
17,2,incorrect pronunciation,8.5
10,2,specific syntax,5.0
1164,4,precondition,291.0
314,1,subjective sentence,314.0
228,3,mellon university,76.0
274,9,pseudocode,30.44444444444444
924,140,original text,6.6
27,1,original user,27.0
11,5,simple view,2.2
53,1,system precision,53.0
12,1,difference method,12.0
129,1,default information,129.0
131,2,internal state,65.5
239,1,levantine,239.0
8,1,example syntax,8.0
31,19,class system,1.631578947368421
495,3,subcategories,165.0
1363,5,normal form,272.6
516,4,system level,129.0
47,1,nominalisation,47.0
12,7,virtual assistant,1.714285714285714
323,2,lmf,161.5
34,1,image recognition,34.0
328,1,linguistic pattern,328.0
171,3,concept type,57.0
3,2,process design,1.5
153,1,virtual environment,153.0
95522,31,semantic,3081.354838709678
88,2,decrement,44.0
3,1,copy publication,3.0
417,1,text understanding,417.0
59,4,problematic situation,14.75
86,2,wikipedias,43.0
131,4,technical document,32.75
17,5,face recognition,3.4
780,1,opinion word,780.0
118,1,positive integer,118.0
23,1,output sample,23.0
3,1,assessment program,3.0
39,4,codification,9.75
164,1,measure value,164.0
147,74,simple task,1.986486486486486
657,59,detailed analysis,11.13559322033898
164,20,connectedness,8.2
281,6,neologism,46.83333333333334
410,4,person pronoun,102.5
57,1,text tend,57.0
29,1,indirection,29.0
27,1,speech recognition application,27.0
560,3,further analysis,186.6666666666667
36,3,specific disease,12.0
104,3,image data,34.66666666666666
17,1,example approach,17.0
1210,1,target phrase,1210.0
237,5,word selection,47.4
2468,127,recent work,19.43307086614173
36,3,correct language,12.0
260,18,incompleteness,14.44444444444444
755,1,text segment,755.0
4475,1224,protein,3.656045751633987
10,3,date format,3.333333333333333
236,6,small value,39.33333333333334
28,1,item score,28.0
15330,5540,post,2.767148014440433
251,28,xyz,8.964285714285714
908,2,order logic,454.0
8,1,iterative nature,8.0
66,5,crucial issue,13.2
87,1,available knowledge,87.0
88,1,empirical investigation,88.0
5,2,factual value,2.5
167,20,specific event,8.35
3317,2,recognizer,1658.5
1140,131,additive,8.702290076335878
8,1,nous allons,8.0
26,2,rule method,13.0
168,3,examinee,56.0
135,2,benchmark data,67.5
212,9,level concept,23.55555555555556
105,1,assignment problem,105.0
103,1,corresponding class,103.0
52,3,code base,17.33333333333333
253,2,term list,126.5
318,5,source data,63.6
82922,2345,context,35.36119402985074
117,2,estimation technique,58.5
251,11,significant increase,22.81818181818182
53,3,sprache,17.66666666666667
53,9,theoretical aspect,5.888888888888889
37,10,new formulation,3.7
61,1,query structure,61.0
12,1,intuitive reasoning,12.0
272,5,specific data,54.4
21,2,schematic diagram,10.5
6,1,appropriate document,6.0
22,2,touch screen device,11.0
526,1,reduplication,526.0
195,1,derivation step,195.0
48,23,middle name,2.08695652173913
164,8,reference system,20.5
23,13,simple principle,1.769230769230769
11,6,internet usage,1.833333333333333
86,1,user opinion,86.0
320,2,isomorphism,160.0
3584,3,syntactically,1194.666666666667
49,14,comprehensiveness,3.5
2135,16,exponential,133.4375
37,13,vygotsky,2.846153846153846
23,1,inflation rate,23.0
972,3,cardinality,324.0
513,1,word overlap,513.0
11193,26,entropy,430.5
6625,54,computation,122.6851851851852
3793,56,zhang,67.73214285714286
132,1,system parameter,132.0
3,1,fix method,3.0
644,15,correct word,42.93333333333333
587,2,web data,293.5
189,1,propositional attitude,189.0
430,4,physical object,107.5
44,12,clinical information,3.666666666666667
233,10,new application,23.3
14548,45,subset,323.2888888888889
252,2,japanese translation,126.0
218,1,alignment task,218.0
2940,1,context free grammar,2940.0
21,11,diagnostic tool,1.909090909090909
17,5,serbian language,3.4
382,2,correct analysis,191.0
49,2,word ratio,24.5
82,1,relevant content,82.0
34,22,spinoza,1.545454545454545
38520,178,query,216.4044943820225
655,69,organism,9.492753623188406
49,12,associate professor,4.083333333333333
9199,918,marker,10.02069716775599
101,4,correct decision,25.25
94,1,incremental approach,94.0
8,4,physical concept,2.0
3803,3,word level,1267.666666666667
2581,39,referential,66.17948717948718
548,7,negative word,78.28571428571429
85,1,invariance,85.0
32,1,system entity,32.0
16,2,feedback process,8.0
854,1,final state,854.0
132,3,factor analysis,44.0
13,1,other literal,13.0
115,31,extrapolation,3.709677419354839
4,2,point view,2.0
24,8,oman,3.0
4,1,useful context information,4.0
246,6,scientific text,41.0
34,2,valid solution,17.0
440,13,politeness,33.84615384615385
133,2,algorithm one,66.5
29,4,catalonia,7.25
126,1,textual context,126.0
7,2,user login,3.5
409,4,running text,102.25
51,2,large sense,25.5
236,154,switzerland,1.532467532467533
62,1,default theory,62.0
8,1,virtual reality environment,8.0
4521,2,prosodic,2260.5
1135,1,error reduction,1135.0
6,1,brain computer interface,6.0
1849,5,average number,369.8
161,22,simple text,7.318181818181818
251,6,superscript,41.83333333333334
118,73,sonnet,1.616438356164384
69,1,random permutation,69.0
10,1,useful benchmark,10.0
31,2,tecnologia,15.5
156,1,domain system,156.0
16,1,classification question,16.0
9,1,introductory article,9.0
20,13,giancarlo,1.538461538461539
40,3,quantitative information,13.33333333333333
180,1,predictive model,180.0
42,3,ideation,14.0
114,22,text size,5.181818181818182
2,1,customary practice,2.0
84006,11542,english,7.278287991682551
25,1,correction approach,25.0
622,3,speedup,207.3333333333333
171,6,open source software,28.5
90,4,social role,22.5
50,5,ramesh,10.0
318,39,newsgroups,8.153846153846153
30,1,declarative statement,30.0
9,1,activation method,9.0
1011,1,original sentence,1011.0
41,1,bbc news,41.0
7977,575,previous work,13.87304347826087
124,1,feature information,124.0
64,2,summary text,32.0
11,2,tokyo university,5.5
16,2,input function,8.0
22,1,conceptual interpretation,22.0
17,2,data presentation,8.5
18450,949,procedure,19.44151738672286
309,7,conceptualization,44.14285714285715
464,2,xml format,232.0
62,5,processing software,12.4
79,34,italian language,2.323529411764706
61,3,visual data,20.33333333333333
69,1,application task,69.0
49,1,interactive question,49.0
3,1,spurious argument,3.0
1242,1,factorization,1242.0
15,7,right solution,2.142857142857143
42,1,autocorrelation,42.0
19,2,short presentation,9.5
322,7,nonzero,46.0
234,6,long vowel,39.0
4718,2315,essay,2.038012958963283
14,2,program information,7.0
2,1,object car,2.0
25,3,time approach,8.333333333333334
6,1,chain method,6.0
3795,114,english word,33.28947368421053
289,5,human computer interaction,57.8
110,12,internet user,9.166666666666666
253,28,new knowledge,9.035714285714286
344,9,data type,38.22222222222222
71,1,mapping process,71.0
76,48,preorder,1.583333333333333
12,1,basic terminology,12.0
160,13,single letter,12.30769230769231
352,9,directionality,39.11111111111111
8,1,similitude,8.0
8,1,caller information,8.0
12,2,same stimulus,6.0
7,4,strong criticism,1.75
2742,9,ellipsis,304.6666666666667
6,1,other generalization,6.0
39,1,input tape,39.0
562,48,morphs,11.70833333333333
68,27,oed,2.518518518518519
245,55,subject area,4.454545454545454
217,2,string model,108.5
171,1,tactic information,171.0
3046,32,divergence,95.1875
29,2,ability score,14.5
13915,3,tagger,4638.333333333333
113,1,initial evaluation,113.0
18,1,interactive use,18.0
64,2,xml data,32.0
9,6,browser interface,1.5
51,10,basic requirement,5.1
38770,10716,concept,3.617954460619634
702,1,news text,702.0
373,1,text feature,373.0
42,1,narrative discourse,42.0
273,45,particular topic,6.066666666666666
19,2,application function,9.5
3,2,peak period,1.5
103,1,logical language,103.0
179,1,basic algorithm,179.0
144677,14006,text,10.32964443809796
30,1,czech text,30.0
23,13,little context,1.769230769230769
1229,1,entity mention,1229.0
48,32,specific item,1.5
318,6,class model,53.0
5,3,groupware,1.666666666666667
591,30,first case,19.7
479,19,world wide web,25.21052631578947
7225,1203,feedback,6.005818786367414
346,8,arabic text,43.25
286,8,standard language,35.75
570,133,other information,4.285714285714286
262,2,grammar checker,131.0
5,1,coherent concept,5.0
29,12,simple hand,2.416666666666667
747,4,context information,186.75
11269,5884,file,1.91519374575119
9580,3016,formula,3.176392572944297
66,34,old information,1.941176470588235
112,11,frege,10.18181818181818
206,6,total score,34.33333333333334
188,3,system description,62.66666666666666
155,19,system error,8.157894736842104
223,2,such structure,111.5
14,6,scientific argument,2.333333333333333
1614,1,domain knowledge,1614.0
127,10,devanagari,12.7
7,1,abstract image,7.0
8,2,grammatical usage,4.0
57567,340,entity,169.3147058823529
144,3,common case,48.0
325,5,decision process,65.0
46,2,system version,23.0
332,46,dictation,7.217391304347826
4841,49,approximation,98.79591836734694
6,1,function description,6.0
32,1,honorific form,32.0
4975,544,reasoning,9.145220588235293
481,22,initial set,21.86363636363636
2267,29,robustness,78.17241379310344
35,1,product rule,35.0
2,1,factual level,2.0
58,1,old entity,58.0
540,1,japanese sentence,540.0
127,1,visual input,127.0
19,2,data dictionary,9.5
297,8,genetic algorithm,37.125
233,4,sample text,58.25
14,7,messaging system,2.0
112,5,japanese verb,22.4
13,4,edit text,3.25
44,2,model file,22.0
47,1,term dictionary,47.0
36,1,common vocabulary,36.0
255,1,common ancestor,255.0
10546,11,machine learning,958.7272727272727
78,18,irrelevant information,4.333333333333333
116,6,significant progress,19.33333333333333
50,2,data example,25.0
5,1,social knowledge,5.0
316,6,subtopics,52.66666666666666
34124,3919,application,8.707323296759377
217,60,step approach,3.616666666666667
410,10,boldface,41.0
163,2,different word order,81.5
16,1,example paper,16.0
29,5,xml parser,5.8
16,8,concise text,2.0
15,9,caen,1.666666666666667
40,1,text use,40.0
3019,5,linear model,603.8
33,2,effective information,16.5
3405,1,feature structure,3405.0
33,1,different vowel,33.0
13,3,standard combination,4.333333333333333
24,2,particular article,12.0
8,1,unambiguous language,8.0
280,118,software package,2.372881355932203
119,1,initial work,119.0
2199,1280,miller,1.71796875
8,1,particular framework,8.0
301,17,relevancy,17.70588235294118
18457,2144,multi,8.608675373134329
3,2,supervenience,1.5
6,2,chance event,3.0
51,4,popular choice,12.75
62,7,english alphabet,8.857142857142858
31,1,possible performance,31.0
267,96,many thanks,2.78125
169,6,particular instance,28.16666666666667
122,1,text translation,122.0
121,2,theoretical work,60.5
190,1,english lexicon,190.0
934,50,workflow,18.68
194,13,semicolon,14.92307692307692
74,5,html file,14.8
42,1,community structure,42.0
19,2,third paragraph,9.5
431,5,language translation,86.2
146,3,main memory,48.66666666666666
199,15,good accuracy,13.26666666666667
47,5,case report,9.4
9,2,edge system,4.5
57,1,cll,57.0
55,3,actual output,18.33333333333333
221,1,bayesian approach,221.0
12109,3262,discussion,3.712139791538933
19,1,filtering function,19.0
431,127,deployment,3.393700787401575
3788,411,translator,9.21654501216545
395,4,information processing,98.75
6,4,intelligent software,1.5
19,2,function check,9.5
256,12,information theory,21.33333333333333
56,3,fingerspelling,18.66666666666667
196,1,json,196.0
475,3,sentence type,158.3333333333333
21,1,lane change,21.0
40,1,simple implementation,40.0
42,1,immediate goal,42.0
1821,6,joshi,303.5
322,2,numerator,161.0
8,1,computer conferencing,8.0
783,13,information need,60.23076923076923
562,1,text collection,562.0
798,182,last word,4.384615384615385
100,2,individual score,50.0
9980,111,lin,89.90990990990991
30,7,line information,4.285714285714286
33,4,useful starting point,8.25
10248,3921,challenge,2.613618974751339
1059,223,usability,4.748878923766816
245,1,frequency list,245.0
80,3,basque country,26.66666666666667
32,1,theoretical computer science,32.0
100,1,structure prediction,100.0
25,1,correspondence analysis,25.0
56,1,bank data,56.0
258,3,word structure,86.0
15,1,admission date,15.0
82,23,phd student,3.565217391304348
9,1,direct object pronoun,9.0
632,4,formal language,158.0
4917,2,cosine,2458.5
2,1,systemic functional perspective,2.0
130,1,specific translation,130.0
59,2,extensive analysis,29.5
433,2,language analysis,216.5
45,7,correct usage,6.428571428571429
91,10,theoretical approach,9.1
142,62,rebuttal,2.290322580645161
47,23,system analysis,2.043478260869565
1329,97,elaboration,13.70103092783505
4797,539,hybrid,8.899814471243042
118,1,coverage problem,118.0
104,1,argument mapping,104.0
71,10,combinatorics,7.1
7,1,separate conversation,7.0
1278,62,artificial intelligence,20.61290322580645
1772,1047,tutorial,1.692454632282713
859,87,byte,9.873563218390805
726,271,portability,2.678966789667897
17,4,vague definition,4.25
563,10,information state,56.3
137,2,search tree,68.5
23,8,memory management,2.875
496,189,last name,2.624338624338624
74,46,presidential election,1.608695652173913
616,2,previous experiment,308.0
149,6,comparative analysis,24.83333333333333
47,1,gehen,47.0
333,1,case role,333.0
53,2,graphical tool,26.5
43,2,summary level,21.5
12,4,step methodology,3.0
102266,30057,case,3.402402102671591
96,21,review process,4.571428571428571
1957,132,new word,14.82575757575758
106,2,target paper,53.0
278,7,standard form,39.71428571428572
173,20,rephrase,8.65
6,1,definite distinction,6.0
10,1,contextual ambiguity,10.0
146,2,information presentation,73.0
80,3,entity relationship,26.66666666666667
106,23,filename,4.608695652173913
5327,1,anaphora,5327.0
70,10,liddy,7.0
548,8,anova,68.5
792,7,language use,113.1428571428571
98,1,single argument,98.0
122,2,test file,61.0
106,2,training strategy,53.0
10479,984,chunk,10.64939024390244
15,3,dictionary format,5.0
80,3,rapid prototyping,26.66666666666667
66,1,tree traversal,66.0
171,7,source software,24.42857142857143
40,3,devanagari script,13.33333333333333
1684,216,edits,7.796296296296297
1817,38,markup,47.81578947368421
30,1,final letter,30.0
17,1,word processing system,17.0
539,234,taiwan,2.303418803418803
266,6,other context,44.33333333333334
276,165,first problem,1.672727272727273
10713,7,datasets,1530.428571428571
143,4,new verb,35.75
223,36,final decision,6.194444444444445
14,1,language pedagogy,14.0
1600,415,inconsistency,3.855421686746988
129,38,mouse click,3.394736842105263
271,1,digraph,271.0
11,5,green car,2.2
4,1,draft text,4.0
863,372,yahoo,2.31989247311828
19,3,post message,6.333333333333333
9,1,gap type,9.0
1024,76,plausibility,13.47368421052632
5,1,sentence spelling,5.0
472,3,data problem,157.3333333333333
302,28,detailed discussion,10.78571428571429
4,1,child program,4.0
71,29,mumbai,2.448275862068965
6,1,character method,6.0
96,2,system behavior,48.0
28,1,appropriate function,28.0
11,1,testability,11.0
47,1,general applicability,47.0
3,1,subjective source,3.0
17,2,technical device,8.5
103,16,username,6.4375
82,1,sentence basis,82.0
52,1,expert judgment,52.0
17,5,chinese poem,3.4
53,3,royal society,17.66666666666667
134,8,html document,16.75
31,1,correct resolution,31.0
40,1,text context,40.0
468,4,final output,117.0
117,1,conversational partner,117.0
1088,5,subordinate clause,217.6
1098,162,rationale,6.777777777777778
1100,223,checker,4.932735426008969
17,2,example test,8.5
11,1,term target,11.0
17204,952,database,18.07142857142857
92,6,location information,15.33333333333333
175,1,test phase,175.0
7930,2234,engine,3.549686660698299
423,16,same value,26.4375
87,8,whole sequence,10.875
356,7,maximum value,50.85714285714285
121,1,specific system,121.0
43,2,individual tag,21.5
33,1,neighbor search,33.0
21,9,particular project,2.333333333333333
2,1,spanish content,2.0
39,1,document type definition,39.0
114,4,word summary,28.5
6,1,message data,6.0
32,9,yale university,3.555555555555555
10579,60,likelihood,176.3166666666667
101,5,particular system,20.2
80,1,first workshop,80.0
409,235,sender,1.740425531914894
2326,1,objective function,2326.0
53,2,new methodology,26.5
1072,6,associative,178.6666666666667
378,1,first method,378.0
6384,1209,shift,5.280397022332506
274,6,search method,45.66666666666666
6679,917,stack,7.283533260632497
25,1,bad label,25.0
89,3,nonlinearity,29.66666666666667
136,3,different input,45.33333333333334
24,1,encoding process,24.0
299,1,experimental data,299.0
105,2,principal component analysis,52.5
127,1,utility function,127.0
202,1,alignment system,202.0
44716,12108,step,3.693095474066733
42,5,particular method,8.4
40,1,positive context,40.0
61,7,actual user,8.714285714285714
25,1,answer sequence,25.0
2,1,underlying functionality,2.0
289,77,step process,3.753246753246753
100,1,current goal,100.0
107,1,phonological process,107.0
189,1,feature specification,189.0
159,1,paragraph level,159.0
201,2,weblogs,100.5
157,1,reference word,157.0
99,24,random number,4.125
220,1,automatic alignment,220.0
21,4,editorship,5.25
109,8,particular text,13.625
4,1,pedagogical principle,4.0
175,96,depth analysis,1.822916666666667
160,1,indefinite article,160.0
54,1,reflexivity,54.0
8,2,quality category,4.0
63,4,correct sequence,15.75
11,2,character representation,5.5
12,2,language idiom,6.0
464,2,grammatical feature,232.0
12,1,person information,12.0
200,3,previous iteration,66.66666666666667
34,5,consistent manner,6.8
33538,6584,dialogue,5.093863912515189
531,1,word corpus,531.0
644,68,keystroke,9.470588235294118
2,1,pbx system,2.0
123,3,simple type,41.0
643,11,chinese text,58.45454545454545
7697,3,collocation,2565.666666666667
1952,6,pereira,325.3333333333333
53,2,adaptation process,26.5
52,27,handwriting recognition,1.925925925925926
177,1,efficient implementation,177.0
197,46,compactness,4.282608695652174
122,2,arabic name,61.0
19,1,level interface,19.0
3482,193,search engine,18.04145077720207
101,4,word score,25.25
175,8,original question,21.875
